rank,id,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
203,1a7c2436-654a-4ee5-b441-c5ecca24cdb3,Guinea-Bissau,Africa,0.43,1.99,7.04,97.67,8848,0,176,0,8642,0,30,145231,2063367,233,11724,14,85.0,6,70385,4288.0
204,66685d8a-d2f8-45e9-b5b5-047535dbb566,Liberia,Africa,0.15,3.68,2.64,96.22,7998,0,294,0,7696,0,8,139824,5305117,663,18045,38,55.0,2,26356,1508.0
205,efc676e5-a2c5-4d3b-9572-257b5e001d39,Sierra Leone,Africa,0.09,1.62,3.13,0.0,7754,0,126,0,7628,0,0,259958,8306436,1071,65924,32,15.0,0,31296,933.0
206,eb98badf-bb25-4255-89eb-930e5be74222,Chad,Africa,0.04,2.54,1.1,63.87,7631,0,194,0,4874,0,2563,191341,17413580,2282,89761,91,11.0,0,10988,438.0
207,f4a6f24f-8b9a-4f70-b7f0-3c1a3cbdfbff,British Virgin Islands,North America,23.88,0.88,350.83,0.0,7305,0,64,0,7241,0,0,107339,30596,4,478,0,2092.0,0,3508269,238757.0
208,8ea1486d-6647-4b7c-835e-a2788a6a5b7b,St. Vincent Grenadines,North America,6.38,1.62,90.41,93.38,7112,0,115,0,6641,0,356,100856,111551,16,970,1,1031.0,0,904125,63756.0
209,6bcba3d3-d887-47d5-bdcd-7282cf91cc1e,Saint Kitts and Nevis,North America,12.15,0.7,231.78,98.99,6548,0,46,0,6482,0,20,124861,53871,8,1171,0,854.0,0,2317778,121550.0
210,acee9dc8-0b7d-4eb7-9f1a-5e682db302ae,Turks and Caicos,North America,16.18,0.56,1384.47,98.96,6431,0,36,0,6364,0,31,550203,39741,6,1104,0,906.0,4,13844720,161823.0
212,85061c40-883d-44e2-9a50-c6c0b5de2a54,Sao Tome and Principe,Africa,2.76,1.23,12.75,98.69,6275,0,77,0,6193,0,5,29036,227679,36,2957,8,338.0,0,127530,27561.0
214,399cc203-6843-4a31-b599-5fe5a0365cb6,St. Barth,North America,53.52,0.11,790.81,0.0,5323,0,6,0,5317,0,0,78646,9945,2,1658,0,603.0,0,7908095,535244.0
216,834d4b30-7863-48af-bee8-54b606081edf,Anguilla,North America,25.63,0.31,337.37,99.36,3904,0,12,0,3879,0,13,51382,15230,4,1269,0,788.0,4,3373736,256336.0
218,f3f7c897-e88f-426f-b804-efc3ea76a20c,Saint Pierre Miquelon,North America,56.1,0.03,436.19,75.8,3231,0,1,0,2449,0,781,25120,5759,2,5759,0,174.0,1,4361868,561035.0
219,ec87cb7a-533c-4ed1-a2bd-7eb05549f552,Falkland Islands,South America,54.54,0.0,243.91,100.0,1930,0,0,0,1930,0,0,8632,3539,2,0,0,0.0,0,2439107,545352.0
221,563abe42-b4b2-4102-81a5-e65bcd3b8faa,Montserrat,North America,28.26,0.57,357.74,98.08,1403,0,8,0,1376,0,19,17762,4965,4,621,0,1611.0,0,3577442,282578.0
222,4f5de98a-49e3-4394-9534-b4b0c800ff96,Macao,Asia,0.12,0.75,1.18,98.99,795,0,6,0,787,0,2,7850,667490,840,111248,85,9.0,0,11760,1191.0
